Customer Id,First Name,Last Name,Email Address,Event Name,Event Date/Time,Seat,Price,Ticket Type,Date Confirmed,Sales Channel
"","Fizz","Sang","f_s@this.com","Macbeth","03/07/2011 19:30:00","C26","10","Over 60","02/06/2011 14:51:00","Counter"
"","Ellie","Rbnsn","e_r@this.com","Macbeth","03/07/2011 19:30:00","D11","10","Over 60","02/06/2011 14:51:00","Counter"
"","Hayley","Kasperczyk","h_k@this.com","Macbeth","03/07/2011 19:30:00","A1","10","Student","02/06/2011 14:51:00","Counter"
"","Rose","Lewenstein","r_l@this.com","Macbeth","03/07/2011 19:30:00","B10","10","Jobseeker","02/06/2011 14:51:00","Counter"
"","William","Drew","w_d@this.com","Macbeth","03/07/2011 19:30:00","B9","10","Jobseeker","02/06/2011 14:51:00","Counter"
"","Wendy","Kibble","w_k@this.com","Macbeth","03/07/2011 19:30:00","B8","10","Over 60","02/06/2011 14:51:00","Counter"
"","Tassos","Stevens","t_s@this.com","Macbeth","03/07/2011 19:30:00","B7","10","Student","02/06/2011 14:51:00","Counter"
"","Wolfram","Kosch","w_kk@this.com","Macbeth","03/07/2011 19:30:00","C5","15","Adult","02/06/2011 14:51:00","Counter"
"","Russel","Bender","r_b@this.com","Macbeth","03/07/2011 19:30:00","G12","10","Jobseeker","02/06/2011 14:51:00","Counter"
"","Sylvan","Steenhuis","s_s@this.com","Macbeth","03/07/2011 19:30:00","F10","10","Over 60","02/06/2011 14:51:00","Counter"
"","Amelia","Airhart","a_h@test.com","Macbeth","03/07/2011 19:30:00","J12","10","Student","02/06/2011 14:51:00","Counter"
