ï»¿Customer Id,First Name,Last Name,Email Address,Event Name,Event Date/Time,Seat,Price,Ticket Type,Date Confirmed,Sales Channel
,Fizz,Sang,f_s@this.com,Macbeth,3/7/11 19:30,C26,10,Over 60,2/6/11 14:51,Counter
,Ellie,Rbnsn,e_r@this.com,Macbeth,3/7/11 19:30,D11,10,Over 60,2/6/11 14:51,Counter
,Hayley,Kasperczyk,h_k@this.com,Macbeth,3/7/11 19:30,A1,10,Student,2/6/11 14:51,Counter
,Rose,Lewenstein,r_l@this.com,Macbeth,3/7/11 19:30,B10,10,Jobseeker,2/6/11 14:51,Counter
,William,Drew,w_d@this.com,Macbeth,3/7/11 19:30,B9,10,Jobseeker,2/6/11 14:51,Counter
,Wendy,Kibble,w_k@this.com,Macbeth,3/7/11 19:30,B8,10,Over 60,2/6/11 14:51,Counter
,Tassos,Stevens,t_s@this.com,Macbeth,4/7/11 19:30,B7,10,Student,2/6/11 14:51,Counter
,Wolfram,Kosch,w_kk@this.com,Macbeth,4/7/11 19:30,C5,15,Adult,2/6/11 14:51,Counter
,Russel,Bender,r_b@this.com,Macbeth,4/7/11 19:30,G12,10,Jobseeker,2/6/11 14:51,Counter
,Sylvan,Steenhuis,s_s@this.com,Macbeth,4/7/11 19:30,F10,10,Over 60,2/6/11 14:51,Counter
,Amelia,Airhart,a_h@test.com,Macbeth,4/7/11 19:30,J12,10,Student,2/6/11 14:51,Counter
